air_temp,brake_mean,compound,driver,drs_activations,fresh_tyre,gp_name,humidity,is_pit_lap,lap_number,lap_time,position,pressure,race_id,rpm_max,rpm_mean,season,sector_1_time,sector_2_time,sector_3_time,session_name,session_type,speed_max,speed_mean,stint,team,throttle_mean,track_status,track_temp,tyre_life,wind_dir,wind_speed
26.1,0.1916461916461916,MEDIUM,GAS,101,,,,,51.0,96.708,,,2019_BHR,,10206.159705159704,2019,30.543,42.357,23.808,,,,199.75921375921376,3.0,Red Bull Racing,65.38329238329239,,27.5,12.0,57.0,2.9
26.1,0.193069306930693,MEDIUM,GAS,26,,,,,52.0,95.755,,,2019_BHR,,10400.89108910891,2019,30.25,42.179,23.326,,,,201.4183168316832,3.0,Red Bull Racing,66.78960396039604,,27.5,13.0,44.0,2.5
26.1,0.1905940594059406,MEDIUM,GAS,29,,,,,53.0,95.865,,,2019_BHR,,10330.10891089109,2019,30.162,42.065,23.638,,,,201.7252475247525,3.0,Red Bull Racing,66.65346534653466,,27.6,14.0,52.0,2.6
26.1,0.2029702970297029,MEDIUM,GAS,43,,,,,54.0,96.47,,,2019_BHR,,10379.95297029703,2019,30.905,42.127,23.438,,,,200.3118811881188,3.0,Red Bull Racing,65.14108910891089,,27.6,15.0,40.0,2.7
26.1,0.1928327645051194,MEDIUM,GAS,586,,,,,55.0,138.606,,,2019_BHR,,9076.26962457338,2019,47.1,58.126,33.38,,,,139.26962457337885,3.0,Red Bull Racing,25.305460750853243,,27.5,16.0,25.0,3.4
26.1,0.158273381294964,MEDIUM,GAS,556,,,,,56.0,131.907,,,2019_BHR,,9520.557553956834,2019,42.167,56.152,33.588,,,,146.67625899280574,3.0,Red Bull Racing,31.203237410071942,,27.6,17.0,24.0,3.4
26.1,0.1771653543307086,MEDIUM,GAS,508,,,,,57.0,120.45,,,2019_BHR,,9448.42125984252,2019,40.679,53.798,25.973,,,,160.73031496062993,3.0,Red Bull Racing,41.36614173228347,,27.4,18.0,19.0,2.5
26.1,0.2607709750566893,SOFT,PER,441,,,,,1.0,104.18,,,2019_BHR,,10527.687074829932,2019,,44.609,24.313,,,,181.1020408163265,1.0,Racing Point,57.909297052154194,,29.2,1.0,45.0,2.8
26.1,0.2326139088729016,SOFT,PER,416,,,,,2.0,98.832,,,2019_BHR,,10631.247002398082,2019,31.067,43.439,24.326,,,,195.15827338129495,1.0,Racing Point,63.23021582733813,,29.3,2.0,22.0,2.3
26.2,0.236144578313253,SOFT,PER,100,,,,,3.0,98.951,,,2019_BHR,,10519.963855421687,2019,31.146,43.316,24.489,,,,194.83855421686744,1.0,Racing Point,61.84096385542168,,29.3,3.0,11.0,1.6
26.2,0.2276995305164319,SOFT,PER,96,,,,,4.0,100.747,,,2019_BHR,,10624.971830985916,2019,31.023,45.101,24.623,,,,192.018779342723,1.0,Racing Point,61.62676056338028,,29.3,4.0,10.0,1.9
26.2,0.2300242130750605,SOFT,PER,126,,,,,5.0,98.503,,,2019_BHR,,10456.254237288136,2019,30.926,43.128,24.449,,,,195.97578692493943,1.0,Racing Point,63.26150121065376,,29.2,5.0,41.0,3.1
26.2,0.2362768496420047,SOFT,PER,128,,,,,6.0,99.449,,,2019_BHR,,10463.040572792364,2019,30.82,43.878,24.751,,,,193.98090692124103,1.0,Racing Point,61.09307875894988,,29.3,6.0,59.0,3.4
26.2,0.2222222222222222,SOFT,PER,104,,,,,7.0,98.311,,,2019_BHR,,10336.021739130434,2019,30.482,43.453,24.376,,,,196.85507246376807,1.0,Racing Point,63.25845410628019,,29.2,7.0,3.0,2.3
26.2,0.243559718969555,SOFT,PER,0,,,,,8.0,101.397,,,2019_BHR,,10244.302107728336,2019,30.96,43.38,27.057,,,,190.05620608899295,1.0,Racing Point,60.37470725995316,,29.1,8.0,40.0,2.9
26.2,0.2228915662650602,MEDIUM,PER,0,,,,,9.0,118.412,,,2019_BHR,,9998.650602409638,2019,53.245,41.383,23.784,,,,163.67670682730923,2.0,Racing Point,67.03815261044177,,29.1,1.0,49.0,2.9
26.1,0.2181372549019608,MEDIUM,PER,0,,,,,10.0,96.666,,,2019_BHR,,10518.69362745098,2019,30.588,42.242,23.836,,,,199.9950980392157,2.0,Racing Point,66.30147058823529,,28.9,2.0,53.0,3.1
26.1,0.2219512195121951,MEDIUM,PER,62,,,,,11.0,97.326,,,2019_BHR,,10481.78536585366,2019,30.703,42.462,24.161,,,,198.2560975609756,2.0,Racing Point,65.79512195121951,,28.8,3.0,22.0,1.9
26.1,0.2019464720194647,MEDIUM,PER,30,,,,,12.0,97.414,,,2019_BHR,,10528.413625304136,2019,30.425,42.741,24.248,,,,198.34063260340636,2.0,Racing Point,65.76885644768856,,28.8,4.0,33.0,1.7
26.1,0.2034313725490196,MEDIUM,PER,0,,,,,13.0,97.278,,,2019_BHR,,10485.745098039217,2019,30.785,42.398,24.095,,,,198.1200980392157,2.0,Racing Point,66.52941176470588,,28.8,5.0,4.0,2.5
26.1,0.2192771084337349,MEDIUM,PER,76,,,,,14.0,98.381,,,2019_BHR,,10489.575903614455,2019,31.271,42.932,24.178,,,,195.9421686746988,2.0,Racing Point,64.0433734939759,,28.9,6.0,352.0,1.6
26.1,0.2063106796116504,MEDIUM,PER,0,,,,,15.0,97.92,,,2019_BHR,,10369.662621359224,2019,30.871,42.908,24.141,,,,196.91504854368927,2.0,Racing Point,65.78883495145631,,28.8,7.0,26.0,2.1
26.1,0.194647201946472,MEDIUM,PER,0,,,,,16.0,98.064,,,2019_BHR,,10382.148418491484,2019,31.042,42.975,24.047,,,,196.9683698296837,2.0,Racing Point,65.69586374695864,,28.8,8.0,47.0,2.1
26.1,0.2082324455205811,MEDIUM,PER,0,,,,,17.0,97.755,,,2019_BHR,,10430.854721549636,2019,30.966,42.72,24.069,,,,197.6416464891041,2.0,Racing Point,65.36077481840194,,28.7,9.0,34.0,2.4
26.1,0.2014563106796116,MEDIUM,PER,0,,,,,18.0,98.152,,,2019_BHR,,10262.167475728156,2019,30.978,43.076,24.098,,,,196.876213592233,2.0,Racing Point,64.9247572815534,,28.7,10.0,27.0,2.1
